"whichweights","mtry","min.node.size","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"random",2,2,0.219049805071397,0.11494182863365,0.171295907969483,0.0409495615234109,0.143483369244226,0.0376740532214483
"random",2,4,0.221623685191502,0.135109889583442,0.172107319437429,0.0464716997772593,0.174882587950706,0.0409180701607046
"random",2,6,0.218322893638802,0.130659311018169,0.169843373540753,0.042122187259445,0.137585616553998,0.0384059513586653
"random",4,2,0.217107961898742,0.0851236121647205,0.167971850022155,0.0468735403245348,0.143055607510477,0.0413841766274341
"random",4,4,0.22152690309795,0.088954184835568,0.174213449997127,0.0499633159905484,0.148158957605609,0.0439013585120853
"random",4,6,0.216732168192673,0.091342421105499,0.169371081451202,0.0549770775966302,0.14455713196066,0.0460051449604601
"random",6,2,0.226353161023305,0.120946873994603,0.177067877030948,0.0510865799251061,0.160914040987174,0.0455098889250572
"random",6,4,0.218643975047969,0.129585662714747,0.170409803551583,0.0483891406950824,0.178976600778096,0.0417942741887422
"random",6,6,0.218681513709239,0.128975065459209,0.170763284877247,0.0493943717990925,0.197431260177972,0.0430461530542154
"fixed",2,2,0.220984534493363,0.132997717610374,0.173704012378934,0.0439391368054712,0.163944072291848,0.0408566561923237
"fixed",2,4,0.218779671637929,0.14267051798245,0.171701821512195,0.0449845998330515,0.168267257167535,0.0414039119784717
"fixed",2,6,0.218454579060696,0.15484457168169,0.172800862647282,0.0423597314822049,0.158306296450057,0.0391279714879732
"fixed",4,2,0.223297033296159,0.15047545803957,0.17640883580443,0.045487469519454,0.196790010191889,0.0428191279651074
"fixed",4,4,0.219896639096767,0.151331311483247,0.173852769189951,0.0499453641420179,0.199351304220993,0.0452445969221833
"fixed",4,6,0.218427086714089,0.141682133267123,0.172660953427677,0.0469464593893894,0.179060256234852,0.0441316472539234
"fixed",6,2,0.226390864045125,0.193637247863909,0.180205945312725,0.0517312516798575,0.239985919828688,0.0480816809193839
"fixed",6,4,0.221426455469932,0.183912433856324,0.176107762283698,0.0501097369317357,0.21303681965178,0.0455894309494909
"fixed",6,6,0.221872448665412,0.174350365900195,0.174678722537284,0.0505908768155098,0.276257908790384,0.0466082844330453
"unif",2,2,0.224296710663111,0.111637844187293,0.174312566368245,0.0436060025279067,0.180453451659748,0.0378551585043077
"unif",2,4,0.223049404574876,0.127702303831653,0.172723959136882,0.043452417744224,0.179663679004099,0.037879639929259
"unif",2,6,0.218735130607487,0.105721242315109,0.169788794523684,0.0484895824580223,0.150282880425605,0.0420112664899779
"unif",4,2,0.216353250367566,0.0920845020826037,0.168113936428582,0.0475999792485238,0.149565397732984,0.0406198323282967
"unif",4,4,0.222964114234112,0.0780580265292767,0.173810012776507,0.0421753457096167,0.137060906895235,0.0373587011337676
"unif",4,6,0.226077649360651,0.110842883839596,0.176701356761927,0.0485108080934571,0.140075457164911,0.0434351487272535
"unif",6,2,0.225216144022229,0.106720011753644,0.176907722188747,0.0572400955612492,0.166597439659491,0.0500381772064827
"unif",6,4,0.226796751758235,0.0867775048894292,0.178001483851667,0.0501827401512341,0.140526596773303,0.0449099308962838
"unif",6,6,0.22218550641354,0.0881650691734231,0.172381536442928,0.0466137390493659,0.142363455748659,0.0415960117633279
